wallet,involved_in_illicit_pattern,pattern_types_involved,anomaly_score,shap_reason,shap_avg_amount_zscore_log,shap_max_abs_amount_zscore_log,shap_tx_count,shap_tx_frequency_per_day_log,shap_fan_in_degree,shap_fan_out_degree,shap_max_geo_velocity_kmh_log,shap_avg_geo_velocity_kmh_log,shap_time_of_day_entropy
bc1qn2twdl9zs13c9xqym52xg8p6befflzm764jwte,True,"coinjoin,fanin,peeling",0.7177328182222762,No individual feature stood out; flagged only by combined weak signals.,-0.2957177707887228,-1.0058220904718986,-1.2083661150947185,-0.006092488706965581,-1.1724956617418283,-1.6203193031172254,-0.7364939731767998,-0.5014634212487967,-0.4111207882863636
bc1qw9xa3kx7eedtjvzhwjr64dpja1wj0tpac56t4u,False,,0.7166192621077386,No individual feature stood out; flagged only by combined weak signals.,-0.04228449531919797,-1.0436339070745893,-1.5973866848622116,-0.012992931286920735,-1.502295145978044,-1.7966993311806674,-0.2156461133771693,-0.10168775108219424,-0.622316281694464
bc1qxfq8myx444nlz15bcw790pdw5py6b2knftu2gc,True,"fanin,fanout",0.6740010790398037,Driven by: an unusually high transaction frequency (contributed +0.126).,-0.32618249884442246,-1.65278829122165,-1.056902595639338,0.12626875957131603,-1.0600407365973235,-1.524905752838355,-0.14907896755397648,-0.16340635300768577,-0.22169555464276788
bc1qzmpjrht7zewviytwbozd1at7o75rh8lx6dut07,True,peeling,0.6662959784712541,Driven by: an unusually high transaction frequency (contributed +0.106).,-0.16632253265170593,-1.076204155976432,-1.1880368727442,0.10574553225441072,-1.1153823561576093,-1.6235544632098629,-0.3142894167899901,-0.07028074756815485,-0.4104696370978619
bc1q8e9rivh6t1ntmjsrd9q46nouhfj7upfln4rxyj,True,"coinjoin,fanin",0.6637270248574404,Driven by: an unusually high transaction frequency (contributed +0.091).,-0.2522359012833525,-1.2288486997187045,-1.0082212306548166,0.09124229539480283,-0.29131245722745736,-1.9619080630498598,-0.46981386724949525,-0.1939059791543496,-0.4866949109577349
bc1qdygfliji18k0axycelos6zle6kwhef0votqtxh,True,"fanin,fanout,peeling",0.6605790113592797,Driven by: an unusually high transaction frequency (contributed +0.089).,-0.45885287111557105,-1.5643554742957442,-1.0022565840544664,0.08906065657032157,-0.0930759207363279,-1.8629925785906005,-0.24585217895262085,-0.06857206148544515,-0.5245340861606103
bc1qmyofqewaouaxeqbnhl1n13jcat9mx2x18hafey,True,peeling,0.6600340805335339,Driven by: an unusually high transaction frequency (contributed +0.123).,-0.4326743548974806,-1.7260092762758323,-1.1071663343371785,0.12331418230241852,-0.6999650876446152,-1.2581007502441908,-0.11156747717669069,-0.1483745264508503,-0.35868992461700916
bc1qhbn5elb45l6d10a1whhkt1yjfe8udttj72ugl6,True,"fanin,fanout",0.648140770258259,Driven by: an unusually extreme single transaction amount (contributed +0.140); unusually large average transaction amount (contributed +0.112); an unusually high transaction frequency (contributed +0.030).,0.11184510150510069,0.13965836878616755,-1.5952354694653152,0.029973742269911927,-1.7584217575857402,-1.661569150501069,-0.10786164981373733,0.003810374658779431,-0.6126786333525851
bc1qugnekrcpprcjiwvhdk8lw2lm349el8hl88kzru,True,peeling,0.6465699466911321,Driven by: an unusually high transaction frequency (contributed +0.107); unusually large average transaction amount (contributed +0.090).,0.08963678516060158,-0.8328288465246584,-1.1501648706179812,0.10711560690993392,-0.5360104758281835,-1.989797881302478,-0.480958406777006,-0.25895504435281175,-0.36265169745529857
bc1q65kxvf1t2tala753lc58drc11ertj5pht0hl9x,False,,0.645708810781247,Driven by: an unusually extreme single transaction amount (contributed +0.160); unusually large average transaction amount (contributed +0.138); an unusually high transaction frequency (contributed +0.061).,0.13770996832460655,0.1600374027379192,-1.5505716713600337,0.06097364070674123,-1.2034491477492528,-2.086452842574742,-0.23505268823043746,-0.060635919292254654,-0.6174755637332281
bc1q5259gmq2p014x5dlwy1p6mxswy0szkbnsh8llr,True,peeling,0.6417583332033956,Driven by: an unusually high number of incoming payments (contributed +0.162); an atypical number of transactions (contributed +0.081); an unusually high number of outgoing payments (contributed +0.058).,-1.6845639107407318,-1.8092606023040518,0.08093765396858012,-1.5294491746669459,0.16222336004763357,0.05783911711835268,-0.12967751015405313,-0.2149220859454726,-0.23734068014408236
