timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,input_prevouts,input_amounts,output_addresses,output_amounts,fee,geo_country,asn,label,pattern_type,sender_entity_ground_truth,output_entity_ground_truth,is_change_ground_truth,coinjoin_ground_truth,geo_exception_ground_truth,chain_id,group_id,hard_negative_chain_id,hop_index,chain_style,mix_size
2026-01-01T00:00:00,148.137.212.97,102.156.119.110,64640,8333,c37c45189bb4d07ef93f73f5ce9c1653fb3e51424f90c23f23b360ccd703541d,['bc1q65kxvf1t2tala753lc58drc11ertj5pht0hl9x'],['genesis_3_53097:0'],[0.03034945],"['bc1qcjwtl9tqvdz4x1zhqimqodpxnf7c3dd03uvule', 'bc1qot7txkdotrbad3wrdhw9re2q6jxnnngbpj4ufz']","[0.0135036, 0.01680303]",4.282e-05,US,AS7150,normal,normal,3,"[28, 3]","[False, True]",False,False,,,,,,
2026-01-01T00:03:57,1.219.103.177,53.30.179.137,33929,8333,42ee89c42f5bc11ac8e66f370c4e3739fe8d3b9237f7caa847499726e31bad91,['bc1qw9xa3kx7eedtjvzhwjr64dpja1wj0tpac56t4u'],['genesis_7_371136:0'],[0.0823109],['bc1q01nouhtcs1k9ye9o2m71hssbelrqvslwf90km3'],[0.08215052],0.00016038,KR,AS3786,normal,normal,7,[44],[False],False,False,,,,,,
2026-01-01T00:13:46,88.24.23.26,53.30.179.137,26962,8333,bf6fbd5e5dc6c9e087c960d942b1000f68ac35da135e448f2827df02ff3b8642,['bc1q4u89yjb1qx6gvwrdmly4lyk83tqll8os9xtogn'],['genesis_19_502985:0'],[0.29863709],['bc1qep9p9w4j66cnoljq52wspofv177udktmonrvbj'],[0.29841033],0.00022676,ES,AS3352,normal,normal,19,[10],[False],False,False,,,,,,
2026-01-01T00:19:30,1.219.103.177,154.145.13.218,35144,8333,45fb04d2d8dc494d1b02e809a9e538a4c819ece386fb67c13bf95b45951aa7c0,['bc1qzs43c5ba75uuzpeal2w37d4ivsolmlgses6m03'],['genesis_31_801164:0'],[0.06328516],"['bc1ql44y9ik01l0vdp6orsnc2czo2sug5hcbbmhnqo', 'bc1q7yirq8rtm4j3dab42hhihxs58yreg2iv7zzj64']","[0.0348702, 0.0282959]",0.00011906,KR,AS3786,normal,normal,31,"[58, 31]","[False, True]",False,False,,,,,,
2026-01-01T00:26:21,148.66.248.202,137.203.111.248,48549,8333,eeba25f85b65f3265fa9f7716ed22b0d93f59f7142723d27335a026356d13567,['bc1quhz1gv0e38daly8ozcywd14ve92mpnsm43d8w3'],['genesis_14_91982:0'],[0.02610866],"['bc1q8e9rivh6t1ntmjsrd9q46nouhfj7upfln4rxyj', 'bc1qyrmjljx8xgsic43olfark6o0u93mzywr7mkgxu']","[0.01801383, 0.00804393]",5.09e-05,US,AS13649,normal,normal,14,"[54, 14]","[False, True]",False,False,,,,,,
2026-01-01T00:35:58,116.38.47.104,71.47.184.65,1329,8333,c0dbdc533be1546439bd78602b14c82e7671dcaf60712006ee560acbd5a62e4f,['bc1qk2vmwwyzx4w6xlpu0dk0get8t63j3r30me8f84'],['genesis_24_939277:0'],[2.75435241],"['bc1qyrmjljx8xgsic43olfark6o0u93mzywr7mkgxu', 'bc1qnvqebwuwqheyto5f9m969f5gcl9lcqh1uf22ep']","[2.02115925, 0.72911217]",0.00408099,KR,AS17858,normal,normal,24,"[14, 24]","[False, True]",False,False,,,,,,
2026-01-01T00:36:41,217.154.105.133,34.154.81.224,9123,8333,9d6326e8534a3b611296cea7b3528311bb63371362e5371bbc32ed33e82bfa76,"['bc1q0fodro8bnp84dyt9moge4qxxva2ieuc1hh5lf6', 'bc1q0fodro8bnp84dyt9moge4qxxva2ieuc1hh5lf6']","['genesis_26_555149:0', 'genesis_26_374795:0']","[2.24594366, 0.04185899]","['bc1q8zov7ln23y30ysxpnngh8riec4d145bm1enf31', 'bc1qi5ldslcb8qsspye9r1f63ai9hasez2nx1wvbd4']","[1.60920505, 0.67485642]",0.00374118,ES,AS8560,normal,normal,26,"[34, 26]","[False, True]",False,False,,,,,,
2026-01-01T00:46:06,222.64.67.64,217.154.105.133,10013,8333,e64830b7d7042fa7cd0dedc7018387c985676db4190dca2350085b8a21c6b39d,['bc1q6q3xlrfcd6mzsgippsfnkomv2xcdyk0x65mufm'],['genesis_33_372039:0'],[8.5015362],['bc1q01nouhtcs1k9ye9o2m71hssbelrqvslwf90km3'],[8.4946649],0.0068713,CN,AS4812,normal,normal,33,[44],[False],False,False,,,,,,
2026-01-01T00:53:19,168.46.48.1,166.27.122.127,7115,8333,7c542d8bcbab1fb22d5a34b8b5a4731ea37c57783c8cb31cc729618549ecf3bc,['bc1quhz1gv0e38daly8ozcywd14ve92mpnsm43d8w3'],['genesis_14_502300:0'],[0.31913103],"['bc1q7bo119xp9n56nyxtxmgtt0iaakytt3imj70e3p', 'bc1q39moft6yriaddur82c06xq9jb354mype46aexl']","[0.15603553, 0.1628006]",0.0002949,US,AS1761,normal,normal,14,"[51, 14]","[False, True]",False,False,,,,,,
2026-01-01T00:59:45,222.64.67.64,152.115.227.3,63306,8333,cd181b54a8a3acc8778620e6cc17cc74b94738dbb455661d41ea7b09937b86fd,['bc1q01nouhtcs1k9ye9o2m71hssbelrqvslwf90km3'],['42ee89c42f5bc11ac8e66f370c4e3739fe8d3b9237f7caa847499726e31bad91:0'],[0.08215052],"['bc1q2x2ezc7fov2ygnmby49e7eobjlzy1uu9ymszdx', 'bc1qimyn4u9bxf445cri8bixoiq2q4qerxdouadvwk']","[0.04706738, 0.03499274]",9.04e-05,CN,AS4812,normal,normal,44,"[29, 44]","[False, True]",False,False,,,,,,
