wallet,avg_amount_zscore,max_abs_amount_zscore,tx_count,tx_frequency_per_day,fan_in_degree,fan_out_degree,max_geo_velocity_kmh,avg_geo_velocity_kmh,time_of_day_entropy,entity_ground_truth,involved_in_illicit_pattern,pattern_types_involved,avg_amount_zscore_log,max_abs_amount_zscore_log,tx_frequency_per_day_log,max_geo_velocity_kmh_log,avg_geo_velocity_kmh_log,anomaly_score
bc1q65kxvf1t2tala753lc58drc11ertj5pht0hl9x,-0.3173381565124673,0.6351386231920041,14,0.2653474173377862,6,9,20620.928115768544,5338.551311858923,3.640223928941852,3,False,,-0.2756131525310018,0.4917275855821002,0.23534672268500215,9.934110260268717,8.582896904427571,0.645708810781247
bc1qcjwtl9tqvdz4x1zhqimqodpxnf7c3dd03uvule,-0.5614717007155474,0.6026910212626923,4,0.0657132915399841,2,2,14.323247291855942,5.054371024385057,2.0,28,False,,-0.4456287744359103,0.4716841047446913,0.06364433228859247,2.7293711060715657,1.8007804945467112,0.45821739078833273
bc1qot7txkdotrbad3wrdhw9re2q6jxnnngbpj4ufz,-0.4581310632477342,0.6015578751164681,5,0.1170883700079224,3,3,16954.465786441608,4264.220659965589,2.2516291673878226,3,False,,-0.3771555220345367,0.470976827482465,0.11072563066223591,9.738345526104634,8.3582491959768,0.4438712338168904
bc1qw9xa3kx7eedtjvzhwjr64dpja1wj0tpac56t4u,0.018163997567164,3.561801895963766,22,0.4166547933494811,12,11,30205.15361846283,4783.615631170231,3.642489673166126,7,False,,0.01800100296011721,1.5177176980976905,0.34829831306802145,10.31580094480702,8.473160972796489,0.7166192621077386
bc1q01nouhtcs1k9ye9o2m71hssbelrqvslwf90km3,0.5898392858667638,2.3100530716869336,5,0.1711194699099087,2,3,1704.042747948454,426.0106869871135,1.3709505944546687,44,False,,0.46363293305218994,1.1969642230027084,0.15796010324575455,7.441345461513848,6.056809040988293,0.5093182614833498
bc1q4u89yjb1qx6gvwrdmly4lyk83tqll8os9xtogn,-0.4911754097995689,0.599841147182629,12,0.2106755271764927,6,8,168353.15749176763,16923.49769847064,3.0391486719030705,19,False,,-0.39956467460370815,0.46990434130599434,0.19117849074720575,12.033825119810086,9.736517419258574,0.6304915479291731
bc1qep9p9w4j66cnoljq52wspofv177udktmonrvbj,-0.228676626708724,0.5048435254428575,5,0.0945086327729248,3,3,40844.84939460932,10254.347948098775,1.792481250360578,10,False,,-0.20593767692924045,0.4086889229901939,0.09030552536212354,10.617560489118793,9.235554599535837,0.4653701335288542
bc1qzs43c5ba75uuzpeal2w37d4ivsolmlgses6m03,1.0938814929173084,4.60036552581003,7,0.11474889477348,1,6,170.2110495293399,32.395526235445054,2.235926350629033,31,True,peeling,0.7390195172066107,1.7228318680770256,0.10862917306811067,5.14289700326826,3.5084219459646606,0.6230322038015924
bc1ql44y9ik01l0vdp6orsnc2czo2sug5hcbbmhnqo,0.0997937461566055,1.3927619471570538,7,0.1148465787948553,4,3,10057.152744393055,1707.4943899994714,2.807354922057604,58,False,,0.09512265872935202,0.8724483251467374,0.10871679795127519,9.216138802975026,7.443367787967556,0.5125811245370725
bc1q7yirq8rtm4j3dab42hhihxs58yreg2iv7zzj64,-0.5852490564797357,0.597610799000425,5,0.1579248095123376,3,3,158.31622078413628,48.21530845604526,2.2516291673878226,31,False,,-0.46074152841078103,0.46850926261116044,0.14662944570617698,5.070891037119069,3.8962047225825183,0.46375409420227987
bc1quhz1gv0e38daly8ozcywd14ve92mpnsm43d8w3,-0.5197768734069594,0.598361978015245,3,0.5546627406587904,0,3,0.0,0.0,0.9182958340544896,14,False,,-0.4185635302717081,0.46897934110122447,0.44125863507165525,0.0,0.0,0.5087724359963975
bc1q8e9rivh6t1ntmjsrd9q46nouhfj7upfln4rxyj,0.4453727263292621,4.427932555363454,11,0.180880008648135,3,9,135284.9256261905,14389.224018859017,3.084962500721156,54,True,"coinjoin,fanin",0.36836723039942765,1.6915583165755042,0.16625993057007066,11.815145785290492,9.574304367436334,0.6637270248574404
bc1qyrmjljx8xgsic43olfark6o0u93mzywr7mkgxu,-0.2275576175717809,0.6045660736263295,5,0.15780556746809,3,3,65359.070352288,16350.818063343831,1.9182958340544896,14,False,,-0.2050265185436211,0.47285336091704494,0.14652646131253744,11.0876668059147,9.702094366678313,0.46989774608636287
bc1qk2vmwwyzx4w6xlpu0dk0get8t63j3r30me8f84,0.0033547328223351,0.3386177097710532,3,0.0568201123907084,1,2,36.89890488447322,24.639511490396064,1.584962500721156,24,False,,0.003349118259581621,0.2916375216664035,0.05526450545168563,3.6349222168021353,3.2441345792343066,0.4597581828929017
bc1qnvqebwuwqheyto5f9m969f5gcl9lcqh1uf22ep,-0.3806943991774451,0.4044641953221672,4,0.0760827426243658,2,2,97.04228233853,35.76745296141527,2.0,24,False,,-0.32258656042232287,0.339655874408568,0.07332735713284849,4.585398838055713,3.6046130234392395,0.42505885578199787
bc1q0fodro8bnp84dyt9moge4qxxva2ieuc1hh5lf6,-0.1464619680324145,0.5929527328603973,3,0.0866791646964323,1,3,45.11618620272217,26.76351798305621,1.5,26,False,,-0.1366806505304735,0.4655893587114227,0.08312640789875322,3.831163999065786,3.3237228561054875,0.4683230986032795
bc1q8zov7ln23y30ysxpnngh8riec4d145bm1enf31,-0.4499571003471325,0.6016735687187807,9,0.1693389747718464,5,4,9046.856677424548,1883.3679354430983,2.725480556997868,34,False,,-0.3715339700273148,0.4710490630385848,0.15643861032150586,9.110283177421222,7.541347730889934,0.5127544726729312
bc1qi5ldslcb8qsspye9r1f63ai9hasez2nx1wvbd4,0.4221203314828269,2.525431612403683,9,0.147697749926588,5,4,156634.37657749263,20918.7608851343,2.5032583347756456,26,True,"fanin,fanout",0.3521489490968094,1.2600028720037584,0.137757979195975,11.961675941097191,9.948449488148636,0.5979962236115715
bc1q6q3xlrfcd6mzsgippsfnkomv2xcdyk0x65mufm,0.9986192343707812,2.3124129299395864,2,0.3581658921605611,0,2,0.0,0.0,1.0,33,False,,0.6924565593213784,1.1976769056656191,0.3061351808513508,0.0,0.0,0.5531098223184269
bc1q7bo119xp9n56nyxtxmgtt0iaakytt3imj70e3p,-0.5576592477100685,0.5886960002608764,6,0.2707318219562254,3,4,108.12180145116888,42.616885762069685,2.521640636343318,51,False,,-0.44318421217348397,0.46291355412304486,0.2395929722700812,4.6924647028588895,3.7754443634991666,0.4998581378753777
